terrai_nome;etnia_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;reestudo_ti;faixa_fronteira
Jaguapiré;Guarani Kaiowá;Tacuru;MS;2342,0155;Regularizada;Tradicionalmente ocupada;;Sim
Jaguari;Guarani Kaiowá;Amambai;MS;404,7055;Regularizada;Tradicionalmente ocupada;;Sim
Jaminaua/Envira;Kulina Madijá;Feijó;AC;80618,1798;Regularizada;Tradicionalmente ocupada;;Sim
Jaminawa Arara do Rio Bagé;Yaminawa,Arara do Acre;Marechal Thaumaturgo,Jordão;AC;28926,1102;Regularizada;Tradicionalmente ocupada;;Sim
Jaminawa do Igarapé Preto;Yaminawa;Cruzeiro do Sul;AC;25651,6167;Regularizada;Tradicionalmente ocupada;;Sim
Japuira;Rikbaktsa;Juara;MT;152509,88;Regularizada;Tradicionalmente ocupada;;Não
Jaquiri;Kambéba;Uarini;AM;1819,9825;Regularizada;Tradicionalmente ocupada;;Não
Jaraguá;Guaraní;São Paulo,Osasco;SP;532;Declarada;Tradicionalmente ocupada;Reestudo;Não
Jaraguá;Guaraní;São Paulo,Osasco;SP;1,7566;Regularizada;Tradicionalmente ocupada;;Não
Jarara;Guarani Kaiowá;Juti;MS;479,0728;Homologada;Tradicionalmente ocupada;;Sim
Jarawara/Jamamadi/Kanamati;Yaminawa,Jamamadí,Kanamarí;Tapauá,Lábrea;AM;390233,0536;Regularizada;Tradicionalmente ocupada;;Não
Jarudore;Boróro ;Poxoréo;MT;4706;Regularizada;Tradicionalmente ocupada;;Não
Jatayvari;Guarani Kaiowá;Ponta Porã;MS;8800;Declarada;Tradicionalmente ocupada;;Sim
Jatuarana;Apurinã;Manacapuru;AM;5251,7956;Regularizada;Tradicionalmente ocupada;;Não
Jauary;Múra;Autazes;AM;24831;Delimitada;Tradicionalmente ocupada;;Não
Juininha;Paresí;Conquista D´Oeste;MT;70537,5203;Regularizada;Tradicionalmente ocupada;;Sim
Juma;Juma;Canutama;AM;38351,1496;Regularizada;Tradicionalmente ocupada;;Não
Jumina;Karipuna,Galibi do Oiapoque;Oiapoque;AP;41601,2713;Regularizada;Tradicionalmente ocupada;;Sim
Jurubaxi-téa;Desána,Kuripako,Tikúna,Tariana,Arapáso,Piratapuya,Nadëb,Baniwa,Baré,Tukano;Barcelos,Santa Isabel do Rio Negro;AM;1208155;Declarada;Tradicionalmente ocupada;;Sim
Juruna do Km 17;Yudjá;Vitória do Xingu;PA;2292;Encaminhada RI;Reserva Indígena;;Não
Kadiwéu;Terena,Kadiwéu;Porto Murtinho,Corumbá;MS;538535,7804;Regularizada;Tradicionalmente ocupada;;Sim
Kaingang de Iraí;Kaingang;Iraí;RS;279,7956;Regularizada;Tradicionalmente ocupada;;Sim
Kambiwá;Kambiwá;Inajá,Ibimirim,Floresta;PE;31495,3123;Regularizada;Tradicionalmente ocupada;;Não
Kampa do Igarapé Primavera;Ashaninka;Tarauacá;AC;21987,2303;Regularizada;Tradicionalmente ocupada;;Sim
Kampa do Rio Amônia;Ashaninka;Marechal Thaumaturgo;AC;87205,4;Regularizada;Tradicionalmente ocupada;;Sim
Kampa e Isolados do Rio Envira;Ashaninka;Jordão,Feijó;AC;232795,0378;Regularizada;Tradicionalmente ocupada;;Sim
Kanamari do Rio Juruá;Kanamarí;Itamarati,Pauini,Eirunepé;AM;596433,64;Regularizada;Tradicionalmente ocupada;;Não
Kanela;Kanela;Fernando Falcão,Barra do Corda;MA;125212,1625;Regularizada;Tradicionalmente ocupada;;Não
Kanela Memortumré;Kanela;Fernando Falcão,Barra do Corda;MA;100221;Delimitada;Tradicionalmente ocupada;Reestudo;Não
Kantaruré;Kantaruré;Glória;BA;1811,867;Regularizada;Tradicionalmente ocupada;;Não
Kapinawá;Kapinawá;Buíque;PE;12403,0917;Regularizada;Tradicionalmente ocupada;;Não
Kapôt Nhinore;Kayapó;Santa Cruz do Xingu,Vila Rica,São Félix do Xingu;PA,MT;362243;Delimitada;Tradicionalmente ocupada;;Não
Karajá Santana do Araguaia;Karajá;Santa Maria das Barreiras;PA;1485,6063;Regularizada;Tradicionalmente ocupada;;Não
Karajá de Aruanã I;Karajá;Aruanã;GO;14,2569;Regularizada;Tradicionalmente ocupada;;Não
Karajá de Aruanã II;Karajá;Cocalinho;MT;893,2687;Regularizada;Tradicionalmente ocupada;;Não
Karajá de Aruanã III;Karajá;Aruanã;GO;705,1748;Regularizada;Tradicionalmente ocupada;;Não
Karapotó;Karapotó;São Sebastião;AL;1242,5168;Regularizada;Reserva Indígena;;Não
Kararaô;Kayapó;Altamira;PA;330837,5422;Regularizada;Tradicionalmente ocupada;;Não
Karipuna;Karipuna;Porto Velho,Nova Mamoré;RO;152929,8599;Regularizada;Tradicionalmente ocupada;;Sim
Kariri de Serra Grande;Kariri;Queimada Nova;PI;2114,6769;Encaminhada RI;Dominial Indígena;;Não
Kariri-Xocó;Kariri - Xocó;São Brás,Porto Real do Colégio;AL;4694,8823;Homologada;Tradicionalmente ocupada;Reestudo;Não
Kariri-Xocó;Kariri - Xocó;São Brás,Porto Real do Colégio;AL;699,358;Regularizada;Tradicionalmente ocupada;;Não
Karitiana;Karitiana;Porto Velho;RO;89682,138;Regularizada;Tradicionalmente ocupada;;Sim
Katukina/Kaxinawá;Kaxinawá,Katukina;Feijó;AC;23474,0358;Regularizada;Tradicionalmente ocupada;;Sim
Kawahiva do Rio Pardo;Isolados;Colniza;MT;411844;Declarada;Tradicionalmente ocupada;;Não
Kaxarari;Kaxarari;Lábrea,Porto Velho;AM,RO;145889,9849;Regularizada;Tradicionalmente ocupada;;Sim
Kaxinawá Ashaninka do Rio Breu;Kaxinawá,Ashaninka;Marechal Thaumaturgo,Jordão;AC;31277,8622;Regularizada;Tradicionalmente ocupada;;Sim
Kaxinawá Colônia Vinte e Sete;Kaxinawá;Tarauacá;AC;105,1664;Regularizada;Tradicionalmente ocupada;;Não
Kaxinawá Nova Olinda;Kaxinawá;Feijó;AC;27533,3987;Regularizada;Tradicionalmente ocupada;;Sim
Kaxinawá Seringal Independência;Kaxinawá;Jordão;AC;11584,127;Encaminhada RI;Dominial Indígena;;Sim
Kaxinawá da Praia do Carapanã;Kaxinawá;Tarauacá;AC;60698,7189;Regularizada;Tradicionalmente ocupada;;Sim
Kaxinawá do Baixo Rio Jordão;Kaxinawá;Jordão;AC;8726,4952;Regularizada;Tradicionalmente ocupada;;Sim
Kaxinawá do Rio Humaitá;Kaxinawá;Feijó;AC;127383,5568;Regularizada;Tradicionalmente ocupada;;Sim
Kaxinawá do Rio Jordão;Kaxinawá;Jordão;AC;87293,7981;Regularizada;Tradicionalmente ocupada;;Sim
Kaxuyana-Tunayana;Kaxuyana;Oriximiná;PA;2184120;Declarada;Tradicionalmente ocupada;;Sim
Kayabi;Kaiabi;Apiacás,Jacareacanga;MT,PA;1053257,681;Regularizada;Tradicionalmente ocupada;Reestudo;Não
Kayapó;Kayapó;Bannach,Cumaru do Norte,São Félix do Xingu,Ourilândia do Norte;PA;3284004,972;Regularizada;Tradicionalmente ocupada;;Não
Ka´aguy Hovy;Guaraní;Iguape;SP;1950;Delimitada;Tradicionalmente ocupada;;Não
Ka´aguy Mirim;Guarani Mbya;Miracatu,Pedro de Toledo;SP;1190;Delimitada;Tradicionalmente ocupada;;Não
Kiriri;Kiriri;Ribeira do Pombal,Quijingue,Tucano,Banzaê;BA;12299,8736;Regularizada;Tradicionalmente ocupada;;Não
Koatinemo;Asurini do Xingu;Altamira,Senador José Porfírio;PA;387834,2501;Regularizada;Tradicionalmente ocupada;;Não
Krahó-Kanela;Krahô-Kanela;Lagoa da Confusão;TO;7612,7653;Regularizada;Reserva Indígena;;Não
Kraolandia;Krahô;Goiatins,Itacajá;TO;302533,3971;Regularizada;Tradicionalmente ocupada;;Não
Krenak;Krenák;Resplendor;MG;4039,8241;Regularizada;Tradicionalmente ocupada;;Não
Krenak de Sete Salões;Krenák;Santa Rita do Itueto,Resplendor,Conselheiro Pena,Itueta;MG;16959,9225;Delimitada;Tradicionalmente ocupada;Principal;Não
Krenrehé;Krenák;Luciara,Canabrava do Norte;MT;5973,721;Regularizada;Reserva Indígena;;Não
Krenyê;Timbira,Krenyê;Vitorino Freire,Barra do Corda;MA;8035,675;Regularizada;Reserva Indígena;;Não
Krikati;Krikati;Montes Altos,Amarante do Maranhão,Lajeado Novo,Sítio Novo;MA;144775,7868;Regularizada;Tradicionalmente ocupada;;Não
Krukutu;Guaraní;São Paulo;SP;25,88;Regularizada;Tradicionalmente ocupada;;Não
Kulina Igarapé do Pau;Kulina Páno;Feijó;AC;45590,937;Regularizada;Tradicionalmente ocupada;;Sim
Kulina do Medio Jurua;Kulina Páno;Envira,Ipixuna,Eirunepé,Tarauacá;AM,AC;730142,9969;Regularizada;Tradicionalmente ocupada;;Não
Kulina do Rio Envira;Kaxinawá,Kulina Páno;Feijó;AC;84364,6082;Regularizada;Tradicionalmente ocupada;;Sim
Kumaru do Lago Ualá;Kulina Páno;Juruá;AM;80035,8819;Regularizada;Tradicionalmente ocupada;;Não
Kuruáya;Kuruáya;Altamira;PA;166784,2496;Regularizada;Tradicionalmente ocupada;;Não
Kwazá do Rio São Pedro;Kwazá,Aikanã;Parecis;RO;16799,8763;Regularizada;Tradicionalmente ocupada;;Sim
Lago Aiapua;Múra;Anori,Beruri;AM;24866,0856;Regularizada;Tradicionalmente ocupada;;Não
Lago Capanã;Múra;Manicoré;AM;6321,5954;Regularizada;Tradicionalmente ocupada;;Não
Lago Jauari;Múra;Manicoré;AM;12023,0844;Regularizada;Tradicionalmente ocupada;;Não
Lago do Beruri;Tikúna;Beruri;AM;4080,369;Regularizada;Tradicionalmente ocupada;;Não
Lago do Correio;Kokama,Tikúna;Santo Antônio do Içá;AM;13209,7815;Regularizada;Tradicionalmente ocupada;;Sim
Lago do Limão;Múra;Borba;AM;8210;Declarada;Tradicionalmente ocupada;;Não
Lago do Marinheiro;Múra;Careiro;AM;3586,2907;Regularizada;Tradicionalmente ocupada;;Não
Lagoa  Encantada;Kanindé;Aquiraz;CE;1731;Declarada;Tradicionalmente ocupada;;Não
Lagoa Comprida;Tenetehara;Jenipapo dos Vieiras,Itaipava do Grajaú;MA;13198,2651;Regularizada;Tradicionalmente ocupada;;Não
Lagoa dos Brincos;Negarotê;Comodoro;MT;1845,058;Regularizada;Tradicionalmente ocupada;;Sim
Lalima;Terena,Kinikinau;Miranda;MS;3000,2101;Regularizada;Tradicionalmente ocupada;;Não
Laranjinha;Guaraní,Kaingang;Santa Amélia,Abatiá;PR;284,2412;Regularizada;Tradicionalmente ocupada;;Não
Las Casas;Kayapó;Redenção,Pau D´Arco,Floresta do Araguaia;PA;21344,7011;Regularizada;Tradicionalmente ocupada;;Não
Lauro Sodré;Tikúna;Benjamin Constant;AM;9478,6216;Regularizada;Tradicionalmente ocupada;;Sim
Ligeiro;Kaingang;Charrua;RS;4565,7973;Regularizada;Tradicionalmente ocupada;;Não
Limão Verde;Terena;Aquidauana;MS;5377,2754;Regularizada;Tradicionalmente ocupada;;Não
Macarrão;Tikúna;Jutaí;AM;44267,9081;Regularizada;Tradicionalmente ocupada;;Não
Malacacheta;Wapixana;Cantá;RR;28631,8258;Regularizada;Tradicionalmente ocupada;;Sim
Mamoadate;Machineri,Yaminawa;Sena Madureira,Assis Brasil;AC;313646,8663;Regularizada;Tradicionalmente ocupada;;Sim
Mangueira;Makuxí;Alto Alegre;RR;4063,741;Regularizada;Tradicionalmente ocupada;;Sim
Mangueirinha;Guaraní,Kaingang;Mangueirinha,Coronel Vivida,Chopinzinho;PR;16375,76;Regularizada;Tradicionalmente ocupada;;Sim
Manoa/Pium;Makuxí,Wapixana;Bonfim;RR;43336,7308;Regularizada;Tradicionalmente ocupada;;Sim
Manoki;Irántxe;Brasnorte;MT;250539,8293;Declarada;Tradicionalmente ocupada;Reestudo;Não
Mapari;Kaixana;Fonte Boa,Japurá,Tonantins;AM;157246,227;Regularizada;Tradicionalmente ocupada;;Não
Maracaxi;Tembé;Aurora do Pará;PA;720;Declarada;Tradicionalmente ocupada;;Não
Maraitá;Tikúna;Amaturá;AM;53038,0644;Regularizada;Tradicionalmente ocupada;;Sim
Maraiwatsede;Xavante;São Félix do Araguaia,Bom Jesus do Araguaia,Alto Boa Vista;MT;165241,2291;Regularizada;Tradicionalmente ocupada;;Não
Marajai;Matsés;Alvarães;AM;1196,3486;Regularizada;Tradicionalmente ocupada;;Não
Maranduba;Karajá;Araguacema,Santa Maria das Barreiras;TO,PA;375,1538;Regularizada;Tradicionalmente ocupada;;Não
Maraã Urubaxi;Makú,Kanamarí;Maraã,Santa Isabel do Rio Negro;AM;94405,0733;Regularizada;Tradicionalmente ocupada;;Não
Marechal Rondon;Xavante;Paranatinga;MT;98500;Regularizada;Tradicionalmente ocupada;;Não
Marrecas;Kaingang;Turvo,Guarapuava;PR;16838,5694;Regularizada;Dominial Indígena;;Não
Maró;Arapiun;Santarém;PA;42373;Delimitada;Tradicionalmente ocupada;;Não
Massacara;Kaimbé;Euclides da Cunha;BA;8020,0802;Regularizada;Tradicionalmente ocupada;;Não
Massaco;Isolados;Alta Floresta D´Oeste,São Francisco do Guaporé;RO;421895,0769;Regularizada;Tradicionalmente ocupada;;Sim
Mata Medonha;Pataxó;Santa Cruz Cabrália;BA;549,6226;Regularizada;Tradicionalmente ocupada;;Não
Mata da Cafurna;Xucuru - Kariri;Palmeira dos Índios;AL;117,6007;Regularizada;Dominial Indígena;;Não
Matintin;Tikúna;Tonantins,Santo Antônio do Içá;AM;21760,7012;Regularizada;Tradicionalmente ocupada;;Sim
Mato Castelhano;Kaingang;Mato Castelhano;RS;3567;Delimitada;Tradicionalmente ocupada;;Não
Mato Preto;Guaraní;Getúlio Vargas,Erechim,Erebango;RS;4230;Delimitada;Tradicionalmente ocupada;;Não
Mawetek;Kanamarí;Jutaí,Eirunepé;AM;115492,878;Regularizada;Tradicionalmente ocupada;;Não
Maxacali;Maxakali;Santa Helena de Minas,Bertópolis;MG;5305,6719;Regularizada;Tradicionalmente ocupada;;Não
Mbiguaçu;Guarani Nhandeva,Guarani Mbya;Biguaçu;SC;59,1982;Regularizada;Tradicionalmente ocupada;;Não
Menkragnoti;Kayapó;Matupá,Peixoto de Azevedo,Altamira,São Félix do Xingu;PA,MT;4914254,821;Regularizada;Tradicionalmente ocupada;;Não
Menkü;Mynky;Brasnorte;MT;47094,8647;Regularizada;Tradicionalmente ocupada;;Não
Meria;Miránha;Alvarães;AM;585,4932;Regularizada;Tradicionalmente ocupada;;Não
Merure;Boróro ;Barra do Garças,General Carneiro;MT;82301,1363;Regularizada;Tradicionalmente ocupada;;Não
Miguel/Josefa;Múra;Autazes;AM;1628,8091;Regularizada;Tradicionalmente ocupada;;Não
Miratu;Miránha;Uarini;AM;13198,788;Regularizada;Tradicionalmente ocupada;;Não
Monte Caseros;Kaingang;Muliterno,Ibiraiaras;RS;1112,4105;Regularizada;Tradicionalmente ocupada;;Não
Morro Alto;Guarani Mbya;São Francisco do Sul;SC;893;Declarada;Tradicionalmente ocupada;;Não
Morro Branco;Tenetehara;Grajaú;MA;48,9804;Regularizada;Tradicionalmente ocupada;;Não
Morro da Palha;Guarani Mbya;Biguaçu;SC;240,3312;Encaminhada RI;Reserva Indígena;;Não
Morro dos Cavalos;Guaraní;Palhoça;SC;1983,4901;Declarada;Tradicionalmente ocupada;;Não
Moskow;Wapixana;Bonfim;RR;14212,9983;Regularizada;Tradicionalmente ocupada;;Sim
Mundo Verde/Cachoeirinha;Maxakali;Teófilo Otoni;MG;606,1916;Regularizada;Reserva Indígena;;Não
Munduruku;Mundurukú;Jacareacanga;PA;2381795,777;Regularizada;Tradicionalmente ocupada;;Não
Munduruku-Taquara;Mundurukú;Belterra;PA;25323;Declarada;Tradicionalmente ocupada;;Não
Muriru;Wapixana;Bonfim,Cantá;RR;5555,9436;Regularizada;Tradicionalmente ocupada;;Sim
Murutinga/Tracaja;Múra;Autazes;AM;13286;Declarada;Tradicionalmente ocupada;;Não
Muã Mimatxi (Fazenda Modelo Diniz);Pataxó;Itapecerica;MG;0;Regularizada;Reserva Indígena;;Não
Mãe Maria;Gavião Parkatejê;Bom Jesus do Tocantins;PA;62488,4516;Regularizada;Tradicionalmente ocupada;;Não
Médio Rio Negro I;Tukano,Makú,Tariana,Baré,Baniwa;Japurá,Santa Isabel do Rio Negro,São Gabriel da Cachoeira;AM;1776138,997;Regularizada;Tradicionalmente ocupada;;Sim
Médio Rio Negro II;Tukano,Makú,Tariana,Desána,Baré,Baniwa;Santa Isabel do Rio Negro,São Gabriel da Cachoeira;AM;316194,989;Regularizada;Tradicionalmente ocupada;;Sim
Nambikwara;Nambikwára;Comodoro;MT;1011961,485;Regularizada;Tradicionalmente ocupada;;Sim
Natal/Felicidade;Múra;Autazes;AM;313,3411;Regularizada;Tradicionalmente ocupada;;Não
Nhamundá/Mapuera;Hixkaryána,Wai Wai;Nhamundá,Urucará,Oriximiná,Faro;AM,PA;1049520;Regularizada;Tradicionalmente ocupada;;Sim
Nioaque;Terena;Nioaque;MS;3029,3529;Regularizada;Tradicionalmente ocupada;;Sim
Nonoai;Guaraní,Kaingang;Rio dos Índios,Planalto,Nonoai,Gramado dos Loureiros;RS;19830;Delimitada;Tradicionalmente ocupada;;Sim
Nonoai/Rio da Várzea;Kaingang;Trindade do Sul,Planalto,Nonoai,Liberato Salzano,Gramado dos Loureiros;RS;16415,4443;Regularizada;Tradicionalmente ocupada;;Sim
Nossa Senhora de Fátima;Terena;Miranda;MS;88,888;Regularizada;Reserva Indígena;;Não
Nova Esperança do Rio Jandiatuba;Tikúna;São Paulo de Olivença,Amaturá;AM;20003,928;Regularizada;Tradicionalmente ocupada;;Sim
Nova Jacundá;Guarani Mbya;Rondon do Pará;PA;424,614;Regularizada;Dominial Indígena;;Não
Nove de Janeiro;Diahói;Humaitá;AM;228777,0999;Regularizada;Tradicionalmente ocupada;;Não
Nukini;Nukiní;Mâncio Lima;AC;27263,5212;Regularizada;Tradicionalmente ocupada;;Sim
Ofayé-Xavante;Ofayé;Brasilândia;MS;1937,625;Declarada;Tradicionalmente ocupada;;Não
Ofayé-Xavante;Ofayé;Brasilândia;MS;484;Regularizada;Reserva Indígena;Reestudo;Não
Ouro;Makuxí;Boa Vista;RR;13572,9696;Regularizada;Tradicionalmente ocupada;;Sim
Pacaas Novas;Pakaa Nova ;Guajará-Mirim;RO;279906,3833;Regularizada;Tradicionalmente ocupada;;Sim
Pacheca;Guaraní;Camaquã;RS;1852,205;Regularizada;Tradicionalmente ocupada;;Não
Padre;Múra;Autazes;AM;797,511;Regularizada;Tradicionalmente ocupada;;Não
Pakurity;Guarani Mbya;Cananéia;SP;5730;Delimitada;Tradicionalmente ocupada;;Não
Palmas;Kaingang;Abelardo Luz,Palmas;PR,SC;3800,8794;Regularizada;Tradicionalmente ocupada;;Não
Panambi - Lagoa Rica;Guarani Kaiowá;Itaporã,Douradina;MS;12196;Delimitada;Tradicionalmente ocupada;;Sim
Panambizinho;Guarani Kaiowá;Dourados;MS;1272,8035;Regularizada;Tradicionalmente ocupada;;Sim
Panará;Panará;Guarantã do Norte,Matupá,Altamira;PA,MT;499740,005;Regularizada;Tradicionalmente ocupada;;Não
Pankararu;Pankararú;Petrolândia,Tacaratu;PE;8377,2819;Regularizada;Tradicionalmente ocupada;;Não
Pankararé;Pankararé;Glória,Paulo Afonso,Rodelas;BA;29597,3322;Regularizada;Tradicionalmente ocupada;;Não
Pankará da Serra do Arapuá;Pankará;Carnaubeira da Penha;PE;15114;Delimitada;Tradicionalmente ocupada;;Não
Paquiçamba;Yudjá;Vitória do Xingu,Anapu,Senador José Porfírio;PA;15733;Declarada;Tradicionalmente ocupada;Reestudo;Não
Paquiçamba;Yudjá;Vitória do Xingu;PA;4384,2668;Regularizada;Tradicionalmente ocupada;;Não
Parabubure;Xavante;Nova Xavantina,Campinápolis,Água Boa;MT;224447,3367;Regularizada;Tradicionalmente ocupada;;Não
Paracuhuba;Múra;Autazes;AM;927,5376;Regularizada;Tradicionalmente ocupada;;Não
Parakanã;Parakanã;Novo Repartimento,Itupiranga;PA;351697,41;Regularizada;Tradicionalmente ocupada;;Não
Parana do Boa Boa;Makú;Japurá,Santa Isabel do Rio Negro;AM;240545,8478;Regularizada;Tradicionalmente ocupada;;Não
Parana do Paricá;Kanamarí;Maraã;AM;7866,32;Regularizada;Tradicionalmente ocupada;;Não
Paraná do Arauató;Múra;Itacoatiara;AM;5915,445;Regularizada;Tradicionalmente ocupada;;Não
Parati-Mirim;Guaraní;Paraty;RJ;79,1997;Regularizada;Tradicionalmente ocupada;;Não
Paresi;Paresí;Tangará da Serra;MT;563586,5345;Regularizada;Tradicionalmente ocupada;;Sim
Parque do Araguaia;Tapirapé,Javaé,Karajá,Ava-Canoeiro;Formoso do Araguaia,Lagoa da Confusão,Pium;TO;1358499,478;Regularizada;Tradicionalmente ocupada;;Não
Parque do Aripuanã;Cinta Larga;Juína,Vilhena;MT,RO;1603245,981;Regularizada;Tradicionalmente ocupada;;Sim
Parque do Tumucumaque;Wayana,Apalaí;Laranjal do Jari,Almeirim,Alenquer,Oriximiná,Óbidos;AP,PA;3071067,876;Regularizada;Tradicionalmente ocupada;;Sim
Parque do Xingu;Wauja, Trumái, Yawalapití, Mehináku, Aweti, Yudjá, Kisêdjê, Ikpeng, Matipú, Kuikuro, Nahukuá, Tapayuna, Kaiabi, Kamayrurá, Kalapalo;Feliz Natal,Gaúcha do Norte,Querência,Canarana,São Félix do Araguaia,Nova Ubiratã,Marcelândia,Paranatinga,São Félix do Xingu;MT,PA;2642003,937;Regularizada;Tradicionalmente ocupada;;Não
Passo Grande do Rio Forquilha;Kaingang;Cacique Doble,Sananduva;RS;1916;Declarada;Tradicionalmente ocupada;;Não
Patauá;Múra;Autazes;AM;615,885;Regularizada;Tradicionalmente ocupada;;Não
Paukalirajausu;Nambikwára;Conquista D´Oeste,Vila Bela da Santíssima Trindade,Nova Lacerda;MT;8400;Delimitada;Tradicionalmente ocupada;;Sim
Paumari do Cuniua;Paumarí;Tapauá;AM;42828,0481;Regularizada;Tradicionalmente ocupada;;Não
Paumari do Lago Manissuã;Paumarí;Tapauá;AM;22970,0651;Regularizada;Tradicionalmente ocupada;;Não
Paumari do Lago Marahã;Apurinã;Lábrea;AM;118766,8862;Regularizada;Tradicionalmente ocupada;;Não
Paumari do Lago Paricá;Paumarí;Tapauá;AM;15792,112;Regularizada;Tradicionalmente ocupada;;Não
Paumari do Rio Ituxi;Paumarí;Lábrea;AM;7572,412;Regularizada;Tradicionalmente ocupada;;Não
Peguaoty;Guarani Mbya;Sete Barras,Miracatu;SP;6230;Delimitada;Tradicionalmente ocupada;;Não
Peneri/Tacaquiri;Apurinã;Pauini;AM;189870,9641;Regularizada;Tradicionalmente ocupada;;Não
Pequizal;Nambikwára;Nova Lacerda;MT;9886,8211;Regularizada;Tradicionalmente ocupada;;Sim
Pequizal do Naruvôtu;Naravute;Gaúcha do Norte,Canarana;MT;27878,5029;Regularizada;Tradicionalmente ocupada;;Não
Perigara;Boróro ;Barão de Melgaço;MT;10740,4115;Regularizada;Tradicionalmente ocupada;;Não
Peruíbe;Guaraní;Peruíbe;SP;480,4737;Regularizada;Tradicionalmente ocupada;;Não
Piaçaguera;Guarani Nhandeva;Peruíbe;SP;2773,7968;Regularizada;Tradicionalmente ocupada;;Não
Pilad Rebuá;Terena;Miranda;MS;208,3702;Regularizada;Tradicionalmente ocupada;;Não
Pimentel Barbosa;Xavante;Canarana,Ribeirão Cascalheira;MT;328966,444;Regularizada;Tradicionalmente ocupada;;Não
Pinatuba;Múra;Manicoré;AM;29564,9382;Regularizada;Tradicionalmente ocupada;;Não
Pindoty;Guarani Mbya;Araquari,Balneário Barra do Sul;SC;3294;Declarada;Tradicionalmente ocupada;;Não
Pindoty/Araçá-Mirim;Guarani Mbya;Pariquera-Açu,Cananéia,Iguape;SP;1030;Delimitada;Tradicionalmente ocupada;;Não
Pinhal;Kaingang;Seara;SC;880,0761;Regularizada;Tradicionalmente ocupada;;Sim
Pinhalzinho;Guaraní;Tomazina;PR;593,372;Regularizada;Reserva Indígena;;Não
Pipipã;Aimore;Floresta;PE;63322;Delimitada;Tradicionalmente ocupada;;Não
Pirahã;Múra,Pirahã;Humaitá;AM;346910,5673;Regularizada;Tradicionalmente ocupada;;Não
Pirai;Guarani Mbya;Araquari;SC;3017;Declarada;Tradicionalmente ocupada;;Não
Pirajuí;Guarani Nhandeva;Paranhos;MS;2118,2325;Regularizada;Tradicionalmente ocupada;;Sim
Pirakua;Guarani Kaiowá;Bela Vista,Ponta Porã;MS;2384,0554;Regularizada;Tradicionalmente ocupada;;Sim
Pirineus de Souza;Nambikwára;Comodoro;MT;28212,2716;Regularizada;Tradicionalmente ocupada;;Sim
Piripkura ( restrição de uso );Isolados;Colniza,Rondolândia;MT;242500;Em Estudo;Interditada;;Não
Pirititi;Isolados;Rorainópolis;RR;40095;Em Estudo;Interditada;;Não
Pitaguary;Pitaguari;Pacatuba,Maracanaú;CE;1727,8686;Declarada;Tradicionalmente ocupada;;Não
Pium;Wapixana;Alto Alegre;RR;4607,6137;Regularizada;Tradicionalmente ocupada;;Sim
Ponciano;Múra;Careiro da Várzea;AM;4329;Declarada;Tradicionalmente ocupada;;Não
