terrai_nome;etnia_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;reestudo_ti;faixa_fronteira
Ponta da Serra;Makuxí;Amajari;RR;15597,0625;Regularizada;Tradicionalmente ocupada;;Sim
Ponte de Pedra;Paresí;Nova Maringá,Diamantino,Campo Novo do Parecis;MT;17000;Declarada;Tradicionalmente ocupada;;Não
Porquinhos;Kanela;Fernando Falcão,Barra do Corda;MA;79520,2544;Regularizada;Tradicionalmente ocupada;;Não
Porquinhos dos Canela-Apãnjekra;Kanela;Formosa da Serra Negra,Mirador,Fernando Falcão,Barra do Corda;MA;301000;Delimitada;Tradicionalmente ocupada;Reestudo;Não
Portal do Encantado;Chiquitáno;Porto Esperidião,Pontes e Lacerda,Vila Bela da Santíssima Trindade;MT;43057;Declarada;Tradicionalmente ocupada;;Sim
Porto Limoeiro;Tikúna;Santo Antônio do Içá;AM;4587,7205;Regularizada;Tradicionalmente ocupada;;Sim
Porto Lindo;Guarani Nhandeva;Japorã;MS;1648,8899;Regularizada;Tradicionalmente ocupada;;Sim
Porto Praia;Tikúna;Uarini;AM;4769,8617;Regularizada;Tradicionalmente ocupada;;Não
Potiguara;Potiguara;Rio Tinto,Marcação,Baía da Traição;PB;21238,4898;Regularizada;Tradicionalmente ocupada;;Não
Potiguara de Monte-Mor;Potiguara;Rio Tinto,Marcação;PB;7530,5969;Declarada;Tradicionalmente ocupada;;Não
Potrero Guaçu;Guarani Nhandeva;Paranhos;MS;4025;Declarada;Tradicionalmente ocupada;;Sim
Poyanawa;Poyanáwa;Mâncio Lima;AC;24499,0885;Regularizada;Tradicionalmente ocupada;;Sim
Praia do Mangue;Mundurukú;Itaituba;PA;31,8449;Encaminhada RI;Reserva Indígena;;Não
Praia do Índio;Mundurukú;Itaituba;PA;31,5019;Encaminhada RI;Reserva Indígena;;Não
Prosperidade;Kokama;Tonantins;AM;5572,8552;Regularizada;Tradicionalmente ocupada;;Não
Queimadas;Kaingang;Ortigueira;PR;3077,7602;Regularizada;Tradicionalmente ocupada;;Não
Quixaba;Xucuru - Kariri;Glória;BA;28,1658;Encaminhada RI;Reserva Indígena;;Não
Raimundão;Makuxí,Wapixana;Alto Alegre;RR;4276,8088;Regularizada;Tradicionalmente ocupada;;Sim
Rancho Jacaré;Guarani Kaiowá;Laguna Carapã;MS;777,5349;Regularizada;Tradicionalmente ocupada;;Sim
Raposa Serra do Sol;Taulipáng,Makuxí,Ingarikó,Wapixana;Normandia,Pacaraima,Uiramutã;RR;1747464,783;Regularizada;Tradicionalmente ocupada;;Sim
Recreio/São Félix;Múra;Autazes;AM;251,051;Regularizada;Tradicionalmente ocupada;;Não
Reserva Indígena Avá Canoeiro;Ava-Canoeiro;Colinas do Sul, Minaçu;GO;0;Encaminhada RI;Reserva Indígena;;Não
Ribeirão Silveira;Guaraní;São Sebastião,Bertioga;SP;8468,9333;Declarada;Tradicionalmente ocupada;Reestudo;Não
Rio Apaporis;Tukano,Makú,Desána,Tuyúca;Japurá;AM;106960,3377;Regularizada;Tradicionalmente ocupada;;Sim
Rio Areia;Guaraní;Inácio Martins;PR;1352,3784;Regularizada;Tradicionalmente ocupada;;Não
Rio Biá;Katukina;Jutaí,Carauari;AM;1185791,71;Regularizada;Tradicionalmente ocupada;;Não
Rio Branco;Tupaiu,Makuráp;Alta Floresta D´Oeste,São Francisco do Guaporé;RO;236137,11;Regularizada;Tradicionalmente ocupada;;Sim
Rio Branco Itanhaém;Guaraní;São Paulo,São Vicente,Itanhaém;SP;2856,1;Regularizada;Tradicionalmente ocupada;;Não
Rio Formoso;Paresí;Tangará da Serra;MT;19749,4741;Regularizada;Tradicionalmente ocupada;;Não
Rio Gregório;Katukina,Yawanawá;Tarauacá;AC;187125,2158;Regularizada;Tradicionalmente ocupada;Reestudo;Sim
Rio Guaporé;Makuráp;Guajará-Mirim;RO;115788,0842;Regularizada;Tradicionalmente ocupada;;Sim
Rio Jumas;Múra;Careiro;AM;9462,6983;Regularizada;Tradicionalmente ocupada;;Não
Rio Manicoré;Múra;Manicoré;AM;19481,8699;Regularizada;Tradicionalmente ocupada;;Não
Rio Mequens;Sakurabiat;Alto Alegre dos Parecis;RO;107553,0101;Regularizada;Tradicionalmente ocupada;;Sim
Rio Negro Ocaia;Pakaa Nova ;Guajará-Mirim;RO;235070;Declarada;Tradicionalmente ocupada;Reestudo;Sim
Rio Negro Ocaia;Pakaa Nova ;Guajará-Mirim;RO;104063,8114;Regularizada;Tradicionalmente ocupada;;Sim
Rio Omerê;Akuntsú,Kanoé;Chupinguaia,Corumbiara;RO;26177,1864;Regularizada;Tradicionalmente ocupada;;Sim
Rio Paru DEste;Wayana,Apalaí;Monte Alegre,Almeirim,Alenquer;PA;1195785,792;Regularizada;Tradicionalmente ocupada;;Sim
Rio Pindaré;Tenetehara;Bom Jardim,Monção;MA;15002,9142;Regularizada;Tradicionalmente ocupada;;Não
Rio Téa;Tukano,Makú,Piratapuya,Desána,Baré;Santa Isabel do Rio Negro,São Gabriel da Cachoeira;AM;411865,3207;Regularizada;Tradicionalmente ocupada;;Sim
Rio Urubu;Múra;Itacoatiara;AM;27354,9118;Regularizada;Tradicionalmente ocupada;;Não
Rio das Cobras;Guaraní,Kaingang;Nova Laranjeiras,Espigão Alto do Iguaçu;PR;18681,9806;Regularizada;Tradicionalmente ocupada;;Sim
Rio dos Pardos;Xokléng;Porto União;SC;758,2614;Regularizada;Tradicionalmente ocupada;;Não
Rio dos Índios;Kaingang;Vicente Dutra;RS;711,7018;Regularizada;Tradicionalmente ocupada;;Sim
Riozinho;Kokama,Tikúna;Jutaí,Juruá;AM;362495;Declarada;Tradicionalmente ocupada;;Não
Riozinho - RS;Guarani Mbya;Riozinho;RS;24,4424;Regularizada;Reserva Indígena;;Não
Riozinho do Alto Envira;Isolados;Santa Rosa do Purus,Feijó;AC;260972,03;Homologada;Tradicionalmente ocupada;;Sim
Rodeador;Tenetehara;Barra do Corda;MA;2319,4531;Regularizada;Dominial Indígena;;Não
Roosevelt;Cinta Larga;Rondolândia,Pimenta Bueno,Espigão D´Oeste;RO,MT;230826,3008;Regularizada;Tradicionalmente ocupada;;Não
Sagarana;Pakaa Nova ;Guajará-Mirim;RO;18120,0636;Regularizada;Tradicionalmente ocupada;;Sim
Sai-Cinza;Mundurukú;Jacareacanga;PA;125552,08;Regularizada;Tradicionalmente ocupada;;Não
Salto Grande do Jacuí;Guaraní;Salto do Jacuí;RS;234,9641;Regularizada;Tradicionalmente ocupada;;Não
Sambaqui;Guaraní;Pontal do Paraná;PR;2795;Delimitada;Tradicionalmente ocupada;;Não
Sangradouro/Volta Grande;Xavante,Boróro ;Poxoréo,Novo São Joaquim,General Carneiro;MT;100280,3969;Regularizada;Tradicionalmente ocupada;;Não
Santa Cruz da Nova Aliança;Kokama;Tonantins;AM;5969,2201;Regularizada;Tradicionalmente ocupada;;Não
Santa Inez;Makuxí;Amajari;RR;29698,0449;Regularizada;Tradicionalmente ocupada;;Sim
Santana;Bakairí;Nobres;MT;35470,7543;Regularizada;Tradicionalmente ocupada;;Não
Sapotal;Kokama;Tabatinga;AM;1264,4661;Regularizada;Tradicionalmente ocupada;;Sim
Sararé;Nambikwára;Vila Bela da Santíssima Trindade,Nova Lacerda;MT;67419,5158;Regularizada;Tradicionalmente ocupada;;Sim
Sarauá;Amanayé;Ipixuna do Pará;PA;18610,323;Regularizada;Tradicionalmente ocupada;;Não
Sassoró;Guarani Kaiowá;Tacuru;MS;1922,6435;Regularizada;Tradicionalmente ocupada;;Sim
Sawré Bap in (Apompu);Mundurukú;Itaituba,Trairão;PA;150330;Delimitada;Tradicionalmente ocupada;;Não
Sawré Muybu (Pimental);Mundurukú;Itaituba,Trairão;PA;178173;Delimitada;Tradicionalmente ocupada;;Não
Sepoti;Tenharim;Humaitá,Manicoré;AM;251348,9835;Regularizada;Tradicionalmente ocupada;;Não
Serra Morena;Cinta Larga;Juína;MT;147836,1461;Regularizada;Tradicionalmente ocupada;;Não
Serra da Moça;Wapixana;Boa Vista;RR;11626,7912;Regularizada;Tradicionalmente ocupada;;Sim
Serra do Itatins;Guaraní;Itariri;SP;1212,47;Regularizada;Tradicionalmente ocupada;;Não
Serrinha;Kaingang;Três Palmeiras,Ronda Alta,Engenho Velho,Constantina;RS;11752,7578;Declarada;Tradicionalmente ocupada;;Sim
Seruini/Mariene;Apurinã;Lábrea,Pauini;AM;144971,3671;Regularizada;Tradicionalmente ocupada;;Não
Sete Cerros;Guarani Nhandeva,Guarani Kaiowá;Paranhos;MS;8584,7213;Homologada;Tradicionalmente ocupada;;Sim
Sete de Setembro;Suruí de Rondônia;Rondolândia,Espigão D´Oeste,Cacoal;RO,MT;248146,9286;Regularizada;Tradicionalmente ocupada;;Não
Setemã;Múra;Novo Aripuanã,Borba;AM;49772,9558;Regularizada;Tradicionalmente ocupada;;Não
Sissaíma;Múra;Careiro da Várzea;AM;8780;Declarada;Tradicionalmente ocupada;;Não
Sombrerito;Guarani Nhandeva;Sete Quedas;MS;12608;Declarada;Tradicionalmente ocupada;;Sim
Sororó;Suruí do Pará;São Geraldo do Araguaia,São Domingos do Araguaia,Marabá;PA;26257,8956;Regularizada;Tradicionalmente ocupada;;Não
Sucuba;Makuxí;Alto Alegre;RR;5983,0271;Regularizada;Tradicionalmente ocupada;;Sim
Sucuriy;Guarani Kaiowá;Maracaju;MS;535,1047;Regularizada;Tradicionalmente ocupada;;Sim
Sururuá;Kokama;São Paulo de Olivença,Benjamin Constant;AM;36125;Declarada;Tradicionalmente ocupada;;Sim
São Domingos - MT;Karajá;Luciara,São Félix do Araguaia;MT;5704,8096;Regularizada;Tradicionalmente ocupada;;Não
São Domingos do Jacapari e Estação;Kokama;Tonantins,Jutaí;AM;134781,7512;Regularizada;Tradicionalmente ocupada;;Não
São Francisco do Canimari;Tikúna;Amaturá;AM;3331,2208;Regularizada;Tradicionalmente ocupada;;Não
São Jeronimo;Xetá,Guaraní,Kaingang;São Jerônimo da Serra;PR;1339,3364;Regularizada;Tradicionalmente ocupada;;Não
São Leopoldo;Tikúna;Benjamin Constant;AM;69270,5409;Regularizada;Tradicionalmente ocupada;;Sim
São Marcos - MT;Xavante;Barra do Garças;MT;188478,26;Regularizada;Tradicionalmente ocupada;;Não
São Marcos - RR;Makuxí,Wapixana;Boa Vista,Pacaraima;RR;654110,0998;Regularizada;Tradicionalmente ocupada;;Sim
São Pedro;Múra;Autazes;AM;726,1805;Regularizada;Tradicionalmente ocupada;;Não
São Pedro do Sepatini;Apurinã;Lábrea;AM;27644,2488;Regularizada;Tradicionalmente ocupada;;Não
São Sebastião;Kokama,Kaixana;Tonantins;AM;61058,5408;Regularizada;Tradicionalmente ocupada;;Não
Taba dos Anacé;Anacé;São Gonçalo do Amarante,Caucaia;CE;543;Encaminhada RI;Reserva Indígena;;Não
Tabalascada;Wapixana;Cantá;RR;13014,7374;Regularizada;Tradicionalmente ocupada;;Sim
Tabocal;Múra;Careiro;AM;906,1516;Regularizada;Tradicionalmente ocupada;;Não
Tadarimana;Boróro ;Rondonópolis;MT;9785;Regularizada;Tradicionalmente ocupada;;Não
Taego Ãwa;Ava-Canoeiro;Formoso do Araguaia;TO;28510;Declarada;Tradicionalmente ocupada;;Não
Taihantesu;Wasusu;Nova Lacerda;MT;5362,3344;Regularizada;Tradicionalmente ocupada;;Sim
Takuaraty/Yvykuarusu;Guarani Kaiowá;Paranhos;MS;2609,094;Homologada;Tradicionalmente ocupada;;Sim
Takuari;Guaraní;Eldorado;SP;2190;Encaminhada RI;Reserva Indígena;;Não
Tanaru ( restrição de uso );Isolados;Chupinguaia,Parecis,Pimenteiras do Oeste,Corumbiara;RO;8070;Em Estudo;Interditada;;Sim
Tapeba;Tapeba;Caucaia;CE;5294;Declarada;Tradicionalmente ocupada;;Não
Tapirapé/Karajá;Tapirapé,Karajá;Luciara,Santa Terezinha;MT;66166,305;Regularizada;Tradicionalmente ocupada;;Não
Tapyi/Rio Branquinho;Guarani Mbya;Cananéia;SP;1154;Delimitada;Tradicionalmente ocupada;;Não
Taquaperi;Guarani Kaiowá;Coronel Sapucaia;MS;1776,9594;Regularizada;Tradicionalmente ocupada;;Sim
Taquara;Guarani Kaiowá;Juti;MS;9700;Declarada;Tradicionalmente ocupada;;Sim
Tarumã;Guarani Mbya;Araquari,Balneário Barra do Sul;SC;2172;Declarada;Tradicionalmente ocupada;;Não
Taunay/Ipegue;Terena;Aquidauana;MS;6461,3459;Regularizada;Tradicionalmente ocupada;;Não
Taunay/Ipegue;Terena;Aquidauana;MS;33900;Declarada;Tradicionalmente ocupada;Reestudo;Não
Tekoa Gwyra Pepo;Guarani Mbya;Tapiraí;SP;330,0609;Regularizada;Reserva Indígena;Principal;Não
Tekoha Guasú Guavirá ;Guarani Nhandeva;Guaíra,  Altônia, Terra Roxa;PR;24028;Delimitada;Tradicionalmente ocupada;;Sim
Tekoha Itamarã;Guarani Nhandeva,Guarani Mbya;Diamante D´Oeste;PR;242;Regularizada;Reserva Indígena;;Sim
Tekoha Jevy (Rio Pequeno);Guaraní;Paraty;RJ;2370;Delimitada;Tradicionalmente ocupada;;Não
Tekohá Añetete;Guaraní;Diamante D´Oeste;PR;1774,7063;Regularizada;Reserva Indígena;;Sim
Tembé;Tembé;Tomé-Açu;PA;1075,1881;Regularizada;Tradicionalmente ocupada;;Não
Tenharim Marmelos;Tenharim;Humaitá,Manicoré;AM;497521,7497;Regularizada;Tradicionalmente ocupada;;Não
Tenharim Marmelos (Gleba B);Tenharim;Humaitá,Manicoré;AM;474741,6023;Regularizada;Tradicionalmente ocupada;;Não
Tenharim do Igarapé Preto;Tenharim;Novo Aripuanã;AM;87413,1478;Regularizada;Tradicionalmente ocupada;;Não
Tenondé Porã;Guaraní;São Paulo,São Vicente,São Bernardo do Campo,Mongaguá;SP;15969;Declarada;Tradicionalmente ocupada;Reestudo;Não
Terena Gleba Iriri;Terena;Matupá;MT;30588,8088;Regularizada;Reserva Indígena;;Não
Tereza Cristina;Boróro ;Santo Antônio do Leverger;MT;30060;Regularizada;Tradicionalmente ocupada;;Não
Tibagy/Mococa;Kaingang;Ortigueira;PR;859,9098;Regularizada;Tradicionalmente ocupada;;Não
Tikuna de Santo Antonio;Tikúna;Benjamin Constant;AM;1065,2723;Regularizada;Tradicionalmente ocupada;;Sim
Tikúna de Feijoal;Kokama,Tikúna;São Paulo de Olivença,Benjamin Constant;AM;40948,8;Regularizada;Tradicionalmente ocupada;;Sim
Tingui Botó;Tingui-Botó;Feira Grande,Campo Grande;AL;535;Regularizada;Reserva Indígena;;Não
Tirecatinga;Halotesu;Sapezal;MT;130575,1964;Regularizada;Tradicionalmente ocupada;;Não
Toldo Chimbangue;Kaingang;Chapecó;SC;988,6625;Regularizada;Tradicionalmente ocupada;;Sim
Toldo Chimbangue II;Kaingang;Chapecó;SC;954,0708;Regularizada;Tradicionalmente ocupada;;Sim
Toldo Imbu;Kaingang;Abelardo Luz;SC;1960,6934;Declarada;Tradicionalmente ocupada;;Sim
Toldo Pinhal;Kaingang;Seara,Paial;SC;4846;Declarada;Tradicionalmente ocupada;Reestudo;Sim
Torá;Torá,Apurinã;Humaitá,Manicoré;AM;54960,985;Regularizada;Tradicionalmente ocupada;;Não
Tremembé da Barra do Mundaú;Tremembé;Itapipoca;CE;3511,4082;Homologada;Tradicionalmente ocupada;;Não
Tremembé de Almofala;Tremembé;Itarema;CE;4900;Delimitada;Tradicionalmente ocupada;;Não
Tremembé de Queimadas;Tremembé;Acaraú;CE;767;Declarada;Tradicionalmente ocupada;;Não
Trincheira;Múra;Autazes;AM;1624,6022;Regularizada;Tradicionalmente ocupada;;Não
Trincheira Bacaja;Araweté,Asurini do Xingu;Altamira,São Félix do Xingu,Anapu,Senador José Porfírio;PA;1650939,257;Regularizada;Tradicionalmente ocupada;;Não
Trocará;Asurini do Tocantins;Baião,Tucuruí;PA;21722,5139;Regularizada;Tradicionalmente ocupada;;Não
Trocará - Doação;Asurini do Tocantins;Tucuruí;PA;14,048;Regularizada;Dominial Indígena;;Não
Trombetas/Mapuera;Katuena,Xereu,Wai Wai,Tunayana,Sikiyana,Hixkaryána,Isolados,Karafawyana,Katuena,Waimiri Atroari;Nhamundá,Urucará,Caroebe,São João da Baliza,Oriximiná,Faro;RR,AM,PA;3970898,042;Regularizada;Tradicionalmente ocupada;;Sim
Truaru;Makuxí,Wapixana;Boa Vista,Alto Alegre;RR;5652,841;Regularizada;Tradicionalmente ocupada;;Sim
Truká;Truká;Cabrobó;PE;1592,8972;Regularizada;Tradicionalmente ocupada;;Não
Truká - Ilha da Assunção;Truká;Cabrobó;PE;5769;Declarada;Tradicionalmente ocupada;Reestudo;Não
Tubarão Latunde;Laiana,Aikanã;Chupinguaia;RO;116613,3671;Regularizada;Tradicionalmente ocupada;;Sim
Tukuna Porto Espiritual;Tikúna;Benjamin Constant;AM;2839,3483;Regularizada;Tradicionalmente ocupada;;Sim
Tukuna Umariaçu;Tikúna;Tabatinga;AM;4854,9989;Regularizada;Tradicionalmente ocupada;;Sim
Tumbalalá;Tumbalalá;Abaré,Curaçá;BA;44978;Delimitada;Tradicionalmente ocupada;;Não
Tumiã;Apurinã;Lábrea;AM;124357,4172;Regularizada;Tradicionalmente ocupada;;Não
Tupinambá de Belmonte;Tupinambá;Belmonte;BA;9521;Delimitada;Tradicionalmente ocupada;;Não
Tupinambá de Olivença;Tupinambá;Una,Ilhéus,Buerarema;BA;47376;Delimitada;Tradicionalmente ocupada;;Não
Tupiniquim;Tupiniquim;Aracruz;ES;14282,7968;Regularizada;Tradicionalmente ocupada;Reestudo;Não
Tupã-Supé;Tikúna;Uarini,Alvarães;AM;8589,5101;Regularizada;Tradicionalmente ocupada;;Não
Turé/Mariquita;Tembé;Tomé-Açu;PA;146,9798;Regularizada;Tradicionalmente ocupada;;Não
Turé/Mariquita II;Tembé;Tomé-Açu;PA;593,5563;Encaminhada RI;Reserva Indígena;;Não
Tuwa Apekuokawera;Suruí de Rondônia;São Geraldo do Araguaia,Marabá;PA;11764;Delimitada;Tradicionalmente ocupada;;Não
Tuxá de Ibotirama;Tuxá;Ibotirama;BA;2019,7079;Regularizada;Reserva Indígena;;Não
Tuxá de Inajá;Tuxá;Inajá;PE;140;Encaminhada RI;Reserva Indígena;;Não
Uati-Paraná;Tikúna;Fonte Boa,Japurá,Tonantins;AM;127199,0612;Regularizada;Tradicionalmente ocupada;;Não
Uaçá;Karipuna;Oiapoque;AP;470164,0636;Regularizada;Tradicionalmente ocupada;;Sim
Ubawawe;Xavante;Santo Antônio do Leste;MT;52234,4773;Regularizada;Tradicionalmente ocupada;;Não
Uirapuru;Paresí;Nova Lacerda,Campos de Júlio;MT;21680;Declarada;Tradicionalmente ocupada;;Sim
Umutina;Umutina;Barra do Bugres;MT;28120;Regularizada;Tradicionalmente ocupada;;Não
Uneiuxi;Tukano,Makú;Japurá,Santa Isabel do Rio Negro;AM;403182,8081;Regularizada;Tradicionalmente ocupada;;Não
Uneiuxi;Tukano,Makú;Japurá,Santa Isabel do Rio Negro;AM;554730,4117;Homologada;Tradicionalmente ocupada;Reestudo;Não
Uru-Eu-Wau-Wau;Uru-Eu-Wau-Wau;Alvorada D´Oeste,Governador Jorge Teixeira,Campo Novo de Rondônia,Mirante da Serra,São Miguel do Guaporé,Cacaulândia,Costa Marques,Jaru,Guajará-Mirim,Seringueiras,Nova Mamoré,Monte Negro;RO;1867117,8;Regularizada;Tradicionalmente ocupada;;Sim
Urubu Branco;Tapirapé;Luciara,Confresa,Porto Alegre do Norte;MT;167533,3271;Regularizada;Tradicionalmente ocupada;;Não
Urucu/Juruá;Tenetehara;Itaipava do Grajaú;MA;12697,0441;Regularizada;Tradicionalmente ocupada;;Não
Utaria Wyhyna/Iròdu Iràna;Javaé,Karajá;Pium;TO;177466;Declarada;Tradicionalmente ocupada;;Não
Utiariti;Paresí;Sapezal,Campo Novo do Parecis;MT;412304,1958;Regularizada;Tradicionalmente ocupada;;Não
Uty-Xunati;Terena;Vilhena;RO;897,1607;Encaminhada RI;Reserva Indígena;;Não
Vale do Guaporé;Nambikwára;Comodoro,Nova Lacerda;MT;242593;Regularizada;Tradicionalmente ocupada;;Sim
Vale do Javari;Matsés,Matís,Kulina Páno;Jutaí,São Paulo de Olivença,Atalaia do Norte,Benjamin Constant;AM;8544482,273;Regularizada;Tradicionalmente ocupada;;Sim
Vanuire;Kaingang;Tupã,Arco-Íris;SP;708,9304;Regularizada;Tradicionalmente ocupada;;Não
Vargem Alegre;Pankararú;Serra do Ramalho;BA;981,0815;Regularizada;Reserva Indígena;;Não
Varzinha;Guarani Mbya;Caraá,Maquiné;RS;776,2761;Regularizada;Tradicionalmente ocupada;;Não
Ventarra;Kaingang;Erebango;RS;772,9532;Regularizada;Tradicionalmente ocupada;;Não
Vera Tupã'i;Guaraní;Campo Mourão;PR;4,84;Regularizada;Dominial Indígena;;Não
Vista Alegre;Múra;Manaquiri;AM;13206;Delimitada;Tradicionalmente ocupada;;Não
Votouro;Kaingang;Benjamin Constant do Sul,Faxinalzinho;RS;3341,0977;Regularizada;Tradicionalmente ocupada;;Sim
Votouro/Kandóia;Kaingang;Benjamin Constant do Sul,Faxinalzinho;RS;5977;Delimitada;Tradicionalmente ocupada;;Sim
Vui-Uata-In;Tikúna;Amaturá;AM;121198,5999;Regularizada;Tradicionalmente ocupada;;Sim
WaiWái;Mawayána;Caroebe,São João da Baliza,Caracaraí;RR;405698,0085;Regularizada;Tradicionalmente ocupada;;Sim
Waimiri-Atroari;Waimiri Atroari;Presidente Figueiredo,Urucará,Novo Airão,São João da Baliza,Rorainópolis;RR,AM;2585911,569;Regularizada;Tradicionalmente ocupada;;Sim
Waiãpi;Waiãpy;Laranjal do Jari,Mazagão,Pedra Branca do Amapari;AP;607017,2404;Regularizada;Tradicionalmente ocupada;;Sim
Wassu Cocal;Wassú;Colônia Leopoldina,Novo Lino,Joaquim Gomes,Matriz de Camaragibe;AL;2744,6603;Regularizada;Tradicionalmente ocupada;Principal;Não
Wassu-Cocal;Wassú;Colônia Leopoldina,Novo Lino,Joaquim Gomes,Matriz de Camaragibe;AL;9098;Delimitada;Tradicionalmente ocupada;Reestudo;Não
Wawi;Kisêdjê;Querência;MT;150329,1865;Regularizada;Tradicionalmente ocupada;;Não
Wedezé;Xavante;Cocalinho;MT;145881;Delimitada;Tradicionalmente ocupada;;Não
Xacriabá;Xacriabá;São João das Missões,Itacarambi;MG;46415,9242;Regularizada;Tradicionalmente ocupada;;Não
Xacriabá;Xacriabá;São João das Missões,Cônego Marinho,Itacarambi;MG;43357;Delimitada;Tradicionalmente ocupada;Reestudo;Não
Xakriabá Rancharia;Xacriabá;São João das Missões,Itacarambi;MG;6798,3817;Regularizada;Tradicionalmente ocupada;;Não
Xambioá;Guaraní,Karajá;Santa Fé do Araguaia;TO;3326,3502;Regularizada;Tradicionalmente ocupada;;Não
Xapecó;Guaraní,Kaingang;Abelardo Luz,Entre Rios;SC;15623,9581;Regularizada;Tradicionalmente ocupada;;Sim
Xapecó (Pinhalzinho-Canhadão);Guaraní,Kaingang;Abelardo Luz;SC;660;Declarada;Tradicionalmente ocupada;;Sim
Xerente;Xerente ;Tocantínia;TO;167542,1058;Regularizada;Tradicionalmente ocupada;;Não
Xikrin do Rio Catete;Kayapó;Água Azul do Norte,Parauapebas,Marabá;PA;439150,5452;Regularizada;Tradicionalmente ocupada;;Não
Xipaya;Xipáya,Kuruáya;Altamira;PA;178723,0238;Regularizada;Tradicionalmente ocupada;;Não
Xukuru;Xucuru;Poção,Pesqueira;PE;27555,0583;Regularizada;Tradicionalmente ocupada;;Não
Xukuru de Cimbres;Xucuru;Pesqueira,Pedra,Alagoinha,Venturosa;PE;1166,1793;Regularizada;Reserva Indígena;;Não
Xukuru-Kariri;Xucuru - Kariri;Palmeira dos Índios;AL;7020,4387;Declarada;Tradicionalmente ocupada;;Não
Yanomami;Yanomámi;Barcelos,Santa Isabel do Rio Negro,São Gabriel da Cachoeira,Alto Alegre,Mucajaí,Caracaraí,Iracema;RR,AM;9664975,48;Regularizada;Tradicionalmente ocupada;;Sim
Ypoi/Triunfo;Guarani Nhandeva;Paranhos;MS;19756;Delimitada;Tradicionalmente ocupada;;Sim
Yvy-katu;Guarani Nhandeva;Japorã;MS;9494,1636;Declarada;Tradicionalmente ocupada;Reestudo;Sim
Yvyporã Laranjinha;Guarani Nhandeva;Cornélio Procópio,Ribeirão do Pinhal,Abatiá;PR;1238;Declarada;Tradicionalmente ocupada;;Não
Zoe;Zo´é;Óbidos;PA;668565,6283;Regularizada;Tradicionalmente ocupada;;Não
Zoró;Zoró;Aripuanã;MT;355789,5492;Regularizada;Tradicionalmente ocupada;;Não
Zuruahã;Zuruahã;Tapauá;AM;239069,7403;Regularizada;Tradicionalmente ocupada;;Não
Água Preta/Inari;Apurinã;Pauini;AM;139763,6705;Regularizada;Tradicionalmente ocupada;;Não
Águas Belas;Pataxó;Prado;BA;1189,0649;Regularizada;Tradicionalmente ocupada;;Não
Águas Claras;Guarani Mbya;Major Gercino;SC;165,4162;Regularizada;Reserva Indígena;;Não
Évare I;Tikúna;Santo Antônio do Içá,São Paulo de Olivença,Tabatinga;AM;548177,5963;Regularizada;Tradicionalmente ocupada;;Sim
Évare II;Tikúna;São Paulo de Olivença;AM;176205,7183;Regularizada;Tradicionalmente ocupada;;Sim
Ñande Ru Marangatu;Guarani Kaiowá;Antônio João;MS;9317,216;Homologada;Tradicionalmente ocupada;;Sim
